"DocType:","Sales Invoice","","","","","","","","","","","","~","Sales Invoice Item","items","","","","","","","","","~","~","~","~","Sales Taxes and Charges","taxes","","~","~","Payment Schedule","payment_schedule","~","Sales Invoice Payment","payments","~","Sales Team","sales_team"
"Column Labels:","Series","Company","Date","Currency","Exchange Rate","Price List","Price List Currency","Price List Exchange Rate","Net Total (Company Currency)","Grand Total (Company Currency)","Grand Total","Debit To","","Item Name","Description","UOM","UOM Conversion Factor","Rate","Amount","Rate (Company Currency)","Amount (Company Currency)","Income Account","Cost Center","","","","","Type","Account Head","Description","","","Due Date","Payment Amount","","Mode of Payment","Amount","","Sales Person",""
"Column Name:","naming_series","company","posting_date","currency","conversion_rate","selling_price_list","price_list_currency","plc_conversion_rate","base_net_total","base_grand_total","grand_total","debit_to","~","item_name","description","uom","conversion_factor","rate","amount","base_rate","base_amount","income_account","cost_center","~","~","~","~","charge_type","account_head","description","~","~","due_date","payment_amount","~","mode_of_payment","amount","~","sales_person","~"
"Mandatory:","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","","","","","Yes","Yes","Yes","","","Yes","Yes","","Yes","Yes","","Yes",""
"Type:","Select","Link","Date","Link","Float","Link","Link","Float","Currency","Currency","Currency","Link","","Data","Text Editor","Link","Float","Currency","Currency","Currency","Currency","Link","Link","","","","","Select","Link","Small Text","","","Date","Currency","","Link","Currency","","Link",""
"Info:","One of: ACC-SINV-.YYYY.-","Valid Company","dd-mm-yyyy","Valid Currency","","Valid Price List","Valid Currency","","","","","Valid Account","","","","Valid UOM","","","","","","Valid Account","Valid Cost Center","","","","","One of: Actual, On Net Total, On Previous Row Amount, On Previous Row Total, On Item Quantity","Valid Account","","","","dd-mm-yyyy","","","Valid Mode of Payment","","","Valid Sales Person",""
"Start entering data below this line","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","204401","Shahico Services","23-01-2019","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","23-01-2019","140","","","","","",""
"","204402","Shahico Services","23-01-2019","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","23-01-2019","20","","","","","",""
"","204627","Shahico Services","04-02-2019","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","04-02-2019","100","","","","","",""
"","204507","Shahico Services","24-02-2019","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","24-02-2019","5","","","","","",""
"","204508","Shahico Services","24-02-2019","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","24-02-2019","3","","","","","",""
"","203598","Shahico Services","21-03-2018","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","21-03-2018","200","","","","","",""
"","201836","Shahico Services","08-09-2016","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","08-09-2016","7","","","","","",""
"","202621","Shahico Services","29-05-2017","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","29-05-2017","660","","","","","",""
"","204880","Shahico Services","30-06-2019","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","30-06-2019","250","","","","","",""
"","202444","Shahico Services","29-12-2016","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","29-12-2016","0","","","","","",""
"","202598","Shahico Services","04-10-2017","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","04-10-2017","20","","","","","",""
"","203800","Shahico Services","29-05-2018","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","29-05-2018","180","","","","","",""
"","204466","Shahico Services","02-06-2019","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","02-06-2019","180","","","","","",""
"","202681","Shahico Services","15-05-2017","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15-05-2017","16200","","","","","",""
"","202738","Shahico Services","06-04-2017","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","06-04-2017","100","","","","","",""
"","203001","Shahico Services","20-08-2017","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20-08-2017","15","","","","","",""
"","203095","Shahico Services","19-08-2017","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19-08-2017","30","","","","","",""
"","203328","Shahico Services","28-12-2017","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","28-12-2017","354","","","","","",""
"","203708","Shahico Services","29-04-2018","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","29-04-2018","90","","","","","",""
"","204118","Shahico Services","09-06-2018","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","09-06-2018","0","","","","","",""
"","204644","Shahico Services","04-07-2019","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","04-07-2019","300","","","","","",""
"","201683","Shahico Services","21-06-2016","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","21-06-2016","357","","","","","",""
"","201797","Shahico Services","27-07-2016","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","27-07-2016","356","","","","","",""
"","201713","Shahico Services","24-05-2016","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","24-05-2016","30","","","","","",""
"","204874","Shahico Services","26-06-2019","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","26-06-2019","40","","","","","",""
"","204925","Shahico Services","07-11-2019","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","07-11-2019","80","","","","","",""
"","204946","Shahico Services","18-07-2019","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18-07-2019","5","","","","","",""
"","204947","Shahico Services","18-07-2019","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18-07-2019","5","","","","","",""
"","204948","Shahico Services","18-07-2019","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18-07-2019","5","","","","","",""
"","204949","Shahico Services","18-07-2019","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18-07-2019","5","","","","","",""
"","201658","Shahico Services","16-06-2016","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16-06-2016","7","","","","","",""
"","201486","Shahico Services","04-11-2016","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","04-11-2016","120","","","","","",""
"","204203","Shahico Services","10-10-2018","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10-10-2018","800","","","","","",""
"","204398","Shahico Services","20-01-2019","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20-01-2019","5","","","","","",""
"","204549","Shahico Services","03-11-2019","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","03-11-2019","10","","","","","",""
"","204550","Shahico Services","03-11-2019","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","03-11-2019","50","","","","","",""
"","204551","Shahico Services","03-11-2019","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","03-11-2019","5","","","","","",""
"","204553","Shahico Services","03-11-2019","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","03-11-2019","10","","","","","",""
"","204656","Shahico Services","04-10-2019","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","04-10-2019","20","","","","","",""
"","204657","Shahico Services","04-10-2019","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","04-10-2019","20","","","","","",""
"","204658","Shahico Services","04-10-2019","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","04-10-2019","5","","","","","",""
"","204920","Shahico Services","07-09-2019","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","07-09-2019","700","","","","","",""
"","201625","Shahico Services","06-05-2016","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","06-05-2016","25","","","","","",""
"","201181","Shahico Services","24-12-2015","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","24-12-2015","188","","","","","",""
